Producto	Material	Línea	D nominal (mm)	Largo (m)	PN - Serie	D mínimo (mm)	D máximo (mm)	Espesor mínimo (mm)	Espesor máximo (mm)	Peso (kg/m)	Desv. Peso debajo	Desv. Peso arriba	Ovalidad (mm)	PHI 20°C (bar)	T Horno (°C)	Tiempo acond. (h)	Color Tubería	Color Línea
75mm x 6m BETA/FIBRA PN-12,5 S-4	PP-RCT/FV	BETA/FIBRA	75	6	PN-12,5 S-4	75,1	75,7	8,4	9,4	1,747494	1,6546	1,8404	1,6	38	135	2	GRIS(BETA)	NARANJA
75mm x 6m BETA/FIBRA PN-10 S-5	PP-RCT/FV	BETA/FIBRA	75	6	PN-10 S-5	75,1	75,7	6,8	7,6	1,449969	1,3715	1,5284	1,6	30	135	1	GRIS(BETA)	NARANJA
75mm x 6m BETA PN-16 S-3,2	PP-RCT	BETA	75	6	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,989525	1,8892	2,0898	1,6	47	135	2	GRIS(BETA)	ROJO
75mm x 6m BETA PN-12,5 S-4	PP-RCT	BETA	75	6	PN-12,5 S-4	75,1	75,7	8,4	9,4	1,674991	1,5859	1,7641	1,6	38	135	2	GRIS(BETA)	BLANCO
75mm x 6m BETA PN-10 S-5	PP-RCT	BETA	75	6	PN-10 S-5	75,1	75,7	6,8	7,6	1,389811	1,3146	1,4650	1,6	30	135	1	GRIS(BETA)	AZUL
315mm x 6m HDPE PN-20 SDR-9	PE100	HDPE	315	6	PN-20 SDR-9	315,0	316,9	35,2	38,9	29,374118	28,0020	30,7463	11,1	31	110	1	NEGRO	AZUL
315mm x 12m HDPE PN-20 SDR-9	PE100	HDPE	315	12	PN-20 SDR-9	315,0	316,9	35,2	38,9	29,374118	28,0020	30,7463	11,1	31	110	1	NEGRO	AZUL
315mm x 6m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	315	6	PN-20 SDR-9	315,0	316,9	35,2	38,9	29,374118	28,0020	30,7463	11,1	31	110	1		
315mm x 12m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	315	12	PN-20 SDR-9	315,0	316,9	35,2	38,9	29,374118	28,0020	30,7463	11,1	31	110	1		
75mm x 6m AQUASYSTEM TRICAPA S-20	PP-R	AQUASYSTEM TRICAPA	75	6	S-20	75,0	75,4	1,9	2,3	0,436450	0,3949	0,4780	1,6		150	1	GRIS(AQS)	SIN LÍNEA
75mm x 6m AQUASYSTEM IPS S-14	PP-R100/CACO3	AQUASYSTEM IPS	75	6	S-14	75,0	75,4	2,6	3,1	0,701512	0,6405	0,7626	1,6		150	1	NEGRO	NARANJA
75mm x 5m R3 PN-20 S-2,5	PP-R	R3	75	5	PN-20 S-2,5	75,1	75,7	12,7	14,1	2,361284	2,2531	2,4694	1,6	64	135	2	GRIS(R3)	VERDE
75mm x 5m R3 PN-16 S-3,2	PP-R	R3	75	5	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,998357	1,8976	2,0991	1,6	50	135	2	GRIS(R3)	ROJO
75mm x 5m R3 PN-10 S-5	PP-R	R3	75	5	PN-10 S-5	75,1	75,7	6,8	7,6	1,395981	1,3205	1,4715	1,6	32	135	1	GRIS(R3)	AZUL
75mm x 5m CHAQUETA PP-UV S-20	PP-R	CHAQUETA PP-UV	75	5	S-20	75,0	75,4	1,9	2,3	0,436450	0,3949	0,4780	1,6		150	1	GRIS(AQS)	SIN LÍNEA
75mm x 5m BETA/FIBRA PN-16 S-3,2	PP-RCT/FV	BETA/FIBRA	75	5	PN-16 S-3,2	75,1	75,7	10,3	11,5	2,075642	1,9710	2,1803	1,6	47	135	2	GRIS(BETA)	NARANJA
75mm x 5m BETA/FIBRA PN-10 S-5	PP-RCT/FV	BETA/FIBRA	75	5	PN-10 S-5	75,1	75,7	6,8	7,6	1,449969	1,3715	1,5284	1,6	30	135	1	GRIS(BETA)	NARANJA
75mm x 5m BETA PN-16 S-3,2	PP-RCT	BETA	75	5	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,989525	1,8892	2,0898	1,6	47	135	2	GRIS(BETA)	ROJO
75mm x 6m CHAQUETA PP-BLACK S-20	PP-R	CHAQUETA PP-BLACK	75	6	S-20	75,0	75,4	1,9	2,3	0,436450	0,3949	0,4780	1,6		150	1	NEGRO(AQS)	SIN LÍNEA
75mm x 5m AQUASYSTEM TRICAPA S-20	PP-R	AQUASYSTEM TRICAPA	75	5	S-20	75,0	75,4	1,9	2,3	0,436450	0,3949	0,4780	1,6		150	1	GRIS(AQS)	SIN LÍNEA
75mm x 5m AQUASYSTEM IPS S-14	PP-R100/CACO3	AQUASYSTEM IPS	75	5	S-14	75,0	75,4	2,6	3,1	0,701512	0,6405	0,7626	1,6		150	1	NEGRO	NARANJA
75mm x 12m BETA/FIBRA PN-16 S-3,2	PP-RCT/FV	BETA/FIBRA	75	12	PN-16 S-3,2	75,1	75,7	10,3	11,5	2,075642	1,9710	2,1803	1,6	47	135	2	GRIS(BETA)	NARANJA
63mm x 6m R3 PN-20 S-2,5	PP-R	R3	63	6	PN-20 S-2,5	63,1	63,6	10,5	11,7	1,648352	1,5703	1,7264	1,5	64	135	2	GRIS(R3)	VERDE
63mm x 6m R3 PN-16 S-3,2	PP-R	R3	63	6	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,403231	1,3326	1,4739	1,5	50	135	2	GRIS(R3)	ROJO
