Producto	Material	Línea	D nominal (mm)	Largo (m)	PN - Serie	D mínimo (mm)	D máximo (mm)	Espesor mínimo (mm)	Espesor máximo (mm)	Peso (kg/m)	Desv. Peso debajo	Desv. Peso arriba	Ovalidad (mm)	PHI 20°C (bar)	T Horno (°C)	Tiempo acond. (h)	Color Tubería	Color Línea
400mm x 12m HDPE PN-16 SDR-11	PE100	HDPE	400	12	PN-16 SDR-11	400,0	402,4	36,3	40,1	41,598839	39,609814	43,587864	14,0	24,8	110	4	NEGRO	AZUL
400mm x 6m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	400	6	PN-16 SDR-11	400,0	402,4	36,3	40,1	41,598839	39,609814	43,587864	14,0	24,8	110	4		
400mm x 12m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	400	12	PN-16 SDR-11	400,0	402,4	36,3	40,1	41,598839	39,609814	43,587864	14,0	24,8	110	4		
400mm x 6m HDPE PN-12,5 SDR-13,6	PE100	HDPE	400	6	PN-12,5 SDR-13,6	400,0	402,4	29,4	32,5	34,378588	32,689300	36,067876	14,0	19,7	110	4	NEGRO	AZUL
400mm x 12m HDPE PN-12,5 SDR-13,6	PE100	HDPE	400	12	PN-12,5 SDR-13,6	400,0	402,4	29,4	32,5	34,378588	32,689300	36,067876	14,0	19,7	110	4	NEGRO	AZUL
400mm x 6m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	400	6	PN-12,5 SDR-13,6	400,0	402,4	29,4	32,5	34,378588	32,689300	36,067876	14,0	19,7	110	4		
400mm x 12m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	400	12	PN-12,5 SDR-13,6	400,0	402,4	29,4	32,5	34,378588	32,689300	36,067876	14,0	19,7	110	4		
400mm x 6m HDPE PN-10 SDR-17	PE100	HDPE	400	6	PN-10 SDR-17	400,0	402,4	23,7	26,2	28,164176	26,756878	29,571473	14,0	15,5	110	4	NEGRO	AZUL
400mm x 12m HDPE PN-10 SDR-17	PE100	HDPE	400	12	PN-10 SDR-17	400,0	402,4	23,7	26,2	28,164176	26,756878	29,571473	14,0	15,5	110	4	NEGRO	AZUL
400mm x 6m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	400	6	PN-10 SDR-17	400,0	402,4	23,7	26,2	28,164176	26,756878	29,571473	14,0	15,5	110	4		
400mm x 12m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	400	12	PN-10 SDR-17	400,0	402,4	23,7	26,2	28,164176	26,756878	29,571473	14,0	15,5	110	4		
400mm x 6m HDPE PN-6 SDR-27,6	PE100	HDPE	400	6	PN-6 SDR-27,6	400,0	402,4	14,5	16,7	18,047724	16,770471	19,324977	14,0	9,3	110	2	NEGRO	AZUL
400mm x 12m HDPE PN-6 SDR-27,6	PE100	HDPE	400	12	PN-6 SDR-27,6	400,0	402,4	14,5	16,7	18,047724	16,770471	19,324977	14,0	9,3	110	2	NEGRO	AZUL
400mm x 6m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	400	6	PN-6 SDR-27,6	400,0	402,4	14,5	16,7	18,047724	16,770471	19,324977	14,0	9,3	110	2		
400mm x 12m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	400	12	PN-6 SDR-27,6	400,0	402,4	14,5	16,7	18,047724	16,770471	19,324977	14,0	9,3	110	2		
400mm x 6m BETA/FIBRA PN-10 S-5	PP-RCT/FV	BETA/FIBRA	400	6	PN-10 S-5	400,1	403,6	36,3	40,2	41,069602	38,9984	43,1408	14,0	30	135	4	GRIS(BETA)	NARANJA
355mm x 6m HDPE PN-16 SDR-11	PE100	HDPE	355	6	PN-16 SDR-11	355,0	357,2	32,2	36,5	33,151979	31,184751	35,119207	12,5	24,8	110	4	NEGRO	AZUL
355mm x 6m HDPE PN-20 SDR-9	PE100	HDPE	355	6	PN-20 SDR-9	355,0	357,2	39,7	43,8	39,369362	37,554964	41,183759	12,5	31	110	4	NEGRO	AZUL
355mm x 6m HDPE PN-6 SDR-27,6	PE100	HDPE	355	6	PN-6 SDR-27,6	355,0	357,2	13,6	14,9	14,616029	13,930134	15,301924	12,5	9,3	110	2	NEGRO	AZUL
355mm x 12m HDPE PN-6 SDR-27,6	PE100	HDPE	355	12	PN-6 SDR-27,6	355,0	357,2	13,6	14,9	14,616029	13,930134	15,301924	12,5	9,3	110	2	NEGRO	AZUL
355mm x 12m HDPE PN-16 SDR-11	PE100	HDPE	355	12	PN-16 SDR-11	355,0	357,2	32,2	36,5	33,151979	31,184751	35,119207	12,5	24,8	110	4	NEGRO	AZUL
355mm x 6m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	355	6	PN-16 SDR-11	355,0	357,2	32,2	36,5	33,151979	31,184751	35,119207	12,5	24,8	110	4		
355mm x 12m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	355	12	PN-16 SDR-11	355,0	357,2	32,2	36,5	33,151979	31,184751	35,119207	12,5	24,8	110	4		
355mm x 6m HDPE PN-12,5 SDR-13,6	PE100	HDPE	355	6	PN-12,5 SDR-13,6	355,0	357,2	26,1	28,9	27,110214	25,754745	28,465683	12,5	19,7	110	4	NEGRO	AZUL
355mm x 12m HDPE PN-12,5 SDR-13,6	PE100	HDPE	355	12	PN-12,5 SDR-13,6	355,0	357,2	26,1	28,9	27,110214	25,754745	28,465683	12,5	19,7	110	4	NEGRO	AZUL
355mm x 6m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	355	6	PN-12,5 SDR-13,6	355,0	357,2	26,1	28,9	27,110214	25,754745	28,465683	12,5	19,7	110	4		
355mm x 12m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	355	12	PN-12,5 SDR-13,6	355,0	357,2	26,1	28,9	27,110214	25,754745	28,465683	12,5	19,7	110	4		
355mm x 6m HDPE PN-10 SDR-17	PE100	HDPE	355	6	PN-10 SDR-17	355,0	357,2	21,1	23,4	22,285938	21,137409	23,434466	12,5	15,5	110	4	NEGRO	AZUL
355mm x 12m HDPE PN-10 SDR-17	PE100	HDPE	355	12	PN-10 SDR-17	355,0	357,2	21,1	23,4	22,285938	21,137409	23,434466	12,5	15,5	110	4	NEGRO	AZUL
355mm x 6m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	355	6	PN-10 SDR-17	355,0	357,2	21,1	23,4	22,285938	21,137409	23,434466	12,5	15,5	110	4		
355mm x 12m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	355	12	PN-10 SDR-17	355,0	357,2	21,1	23,4	22,285938	21,137409	23,434466	12,5	15,5	110	4		
32mm x 6m R3 PN-20 S-2,5	PP-R	R3	32	6	PN-20 S-2,5	32,3	32,5	5,4	6,1	0,435427	0,4130	0,4579	1,3	64	135	1	GRIS(R3)	VERDE
32mm x 6m R3 PN-16 S-3,2	PP-R	R3	32	6	PN-16 S-3,2	32,2	32,5	4,4	5,0	0,369352	0,3478	0,3909	1,3	50	135	1	GRIS(R3)	ROJO
32mm x 6m R3 PN-10 S-5	PP-R	R3	32	6	PN-10 S-5	32,3	32,5	2,9	3,3	0,258185	0,2424	0,2740	1,3	32	135	1	GRIS(R3)	AZUL
32mm X 6m PVDF SDR-13,6 S-6,3	PVDF	PVDF	40	6	SDR-13,6	32,0	32,3	2,4	2,9	0,437017	0,3973	0,4768				1	BLANCO(PVDF)	SIN LÍNEA
32mm x 6m PP-H PN-16 S-3,2	PP-H	PP-H	32	6	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,369978	0,3490	0,3909	1,3	65,6	150	1	GRIS(PP-H)	SIN LÍNEA
32mm x 6m PP-H PN-10 S-5	PP-H	PP-H	32	6	PN-10 S-5	32,3	32,5	2,9	3,3	0,258185	0,2424	0,2740	1,3	42	150	1	GRIS(PP-H)	SIN LÍNEA
32mm x 6m SMART PIPE/PP-RCT PN-16 S-3,2	PP-RCT	SMART PIPE/PP-RCT	32	6	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,368342	0,3475	0,3892	1,3	47	135	1	GRIS(BETA)	ROJO
40mm x 6m PPR-DG PN-16 S-3,2 MC	PP-R	PPR-DG	40	6	PN-16 S-3,2	40,1	40,4	5,5	6,2	0,571954	0,5410	0,6029	1,4	50	135	1	GRIS(BETA)	ROJO
40mm x 6m PPR-DG PN-20 S-2,5 MC	PP-R	PPR-DG	40	6	PN-20 S-2,5	40,1	40,4	5,5	6,2	0,571954	0,5410	0,6029	1,4	64	135	1	GRIS(BETA)	VERDE
63mm x 6m PPR-DG PN-20 S-2,5 MC	PP-R	PPR-DG	63	6	PN-20 S-2,5	63,1	63,6	10,5	11,7	1,648352	1,5703	1,7264	1,5	64	135	2	GRIS(BETA)	VERDE
32mm x 6m PPR-DG PN-20 S-2,5 MC	PP-R	PPR-DG	32	6	PN-20 S-2,5	32,3	32,5	5,4	6,1	0,435427	0,4130	0,4579	1,3	64	135	1	GRIS(BETA)	VERDE
32mm x 6m POLI-ONE/BETA PN-16 S-3,2	PP-RCT	POLI-ONE/BETA	32	6	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,368342	0,3475	0,3892	1,3	47	135	1	GRIS(P1)	ROJO
32mm x 6m POLI-ONE PN-20 S-2,5	PP-R	POLI-ONE	32	6	PN-20 S-2,5	32,3	32,5	5,4	6,1	0,435427	0,4130	0,4579	1,3	64	135	1	GRIS(P1)	VERDE
32mm x 6m PPR-DG PN-16 S-3,2	PP-R	PPR-DG	32	6	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,369978	0,3490	0,3909	1,3	50	135	1	GRIS(P1)	ROJO
32mm x 6m POLI-ONE PN-10 S-5	PP-R	POLI-ONE	32	6	PN-10 S-5	32,3	32,5	2,9	3,3	0,258185	0,2424	0,2740	1,3	32	135	1	GRIS(P1)	AZUL
32mm x 6m POLI-ONE DG PN-20 S-2,5	PP-R	POLI-ONE DG	32	6	PN-20 S-2,5	32,3	32,5	5,4	6,1	0,435427	0,4130	0,4579	1,3	64	135	1	GRIS(P1)	VERDE
32mm x 6m HDPE PN-20 SDR-9	PE100	HDPE	32	6	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1	NEGRO	AZUL
32mm x 12m HDPE PN-20 SDR-9	PE100	HDPE	32	12	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1	NEGRO	AZUL
32mm x 50m HDPE PN-20 SDR-9	PE100	HDPE	32	50	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1	NEGRO	AZUL
32mm x 100m HDPE PN-20 SDR-9	PE100	HDPE	32	100	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1	NEGRO	AZUL
32mm x 150m HDPE PN-20 SDR-9	PE100	HDPE	32	150	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1	NEGRO	AZUL
32mm x 200m HDPE PN-20 SDR-9	PE100	HDPE	32	200	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1	NEGRO	AZUL
32mm x 6m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	32	6	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1		
32mm x 12m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	32	12	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1		
32mm x 50m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	32	50	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1		
32mm x 100m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	32	100	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1		
32mm x 150m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	32	150	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1		
32mm x 200m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	32	200	PN-20 SDR-9	32,0	32,3	3,6	4,1	0,326814	0,306742	0,346885	1,3	31	110	1		
32mm x 6m HDPE PN-16 SDR-11	PE100	HDPE	32	6	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1	NEGRO	AZUL
32mm x 12m HDPE PN-16 SDR-11	PE100	HDPE	32	12	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1	NEGRO	AZUL
32mm x 50m HDPE PN-16 SDR-11	PE100	HDPE	32	50	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1	NEGRO	AZUL
32mm x 100m HDPE PN-16 SDR-11	PE100	HDPE	32	100	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1	NEGRO	AZUL
32mm x 150m HDPE PN-16 SDR-11	PE100	HDPE	32	150	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1	NEGRO	AZUL
32mm x 200m HDPE PN-16 SDR-11	PE100	HDPE	32	200	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1	NEGRO	AZUL
32mm x 6m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	32	6	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1		
32mm x 12m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	32	12	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1		
32mm x 50m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	32	50	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1		
32mm x 100m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	32	100	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1		
32mm x 150m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	32	150	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1		
32mm x 200m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	32	200	PN-16 SDR-11	32,0	32,3	3,0	3,4	0,277910	0,261019	0,294801	1,3	24,8	110	1		
32mm x 6m HDPE PN-12,5 SDR-13,6	PE100	HDPE	32	6	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1	NEGRO	AZUL
32mm x 12m HDPE PN-12,5 SDR-13,6	PE100	HDPE	32	12	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1	NEGRO	AZUL
32mm x 50m HDPE PN-12,5 SDR-13,6	PE100	HDPE	32	50	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1	NEGRO	AZUL
32mm x 100m HDPE PN-12,5 SDR-13,6	PE100	HDPE	32	100	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1	NEGRO	AZUL
32mm x 150m HDPE PN-12,5 SDR-13,6	PE100	HDPE	32	150	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1	NEGRO	AZUL
32mm x 200m HDPE PN-12,5 SDR-13,6	PE100	HDPE	32	200	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1	NEGRO	AZUL
32mm x 6m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	32	6	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1		
32mm x 12m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	32	12	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1		
32mm x 50m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	32	50	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1		
32mm x 100m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	32	100	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1		
32mm x 150m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	32	150	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1		
32mm x 200m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	32	200	PN-12,5 SDR-13,6	32,0	32,3	2,4	2,8	0,230477	0,213136	0,247818	1,3	19,7	110	1		
32mm x 6m HDPE PN-10 SDR-17	PE100	HDPE	32	6	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1	NEGRO	AZUL
32mm x 12m HDPE PN-10 SDR-17	PE100	HDPE	32	12	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1	NEGRO	AZUL
32mm x 50m HDPE PN-10 SDR-17	PE100	HDPE	32	50	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1	NEGRO	AZUL
32mm x 100m HDPE PN-10 SDR-17	PE100	HDPE	32	100	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1	NEGRO	AZUL
32mm x 150m HDPE PN-10 SDR-17	PE100	HDPE	32	150	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1	NEGRO	AZUL
32mm x 200m HDPE PN-10 SDR-17	PE100	HDPE	32	200	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1	NEGRO	AZUL
32mm x 6m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	32	6	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1		
32mm x 12m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	32	12	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1		
32mm x 50m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	32	50	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1		
32mm x 100m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	32	100	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1		
32mm x 150m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	32	150	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1		
32mm x 200m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	32	200	PN-10 SDR-17	32,0	32,3	2,0	2,3	0,193514	0,180013	0,207015	1,3	15,5	110	1		
32mm x 100m HDPE PN-6 SDR-27,6	PE100	HDPE	32	100	PN-6 SDR-27,6	32,0	32,4	1,6	2,0	0,164172	0,145931	0,182413	1,3	9,3	110	1	NEGRO	AZUL
32mm x 200m HDPE PN-6 SDR-27,6	PE100	HDPE	32	200	PN-6 SDR-27,6	32,0	32,4	1,6	2,0	0,164172	0,145931	0,182413	1,3	9,3	110	1	NEGRO	AZUL
32mm x 6m BETA/FIBRA/BOX	PP-RCT/FV/BOX	EVO	32	6		32,6	32,8	4,6	5,2	0,382444	0,3619	0,4030	1,3			1	GRIS(BETA)	SIN LÍNEA
32mm x 6m BETA/FIBRA PN-16 S-3,2	PP-RCT/FV	BETA/FIBRA	32	6	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,384286	0,3625	0,4061	1,3	47	135	1	GRIS(BETA)	NARANJA
32mm x 6m BETA/FIBRA PN-12,5 S-4	PP-RCT/FV	BETA/FIBRA	32	6	PN-12,5 S-4	32,3	32,5	3,6	4,1	0,324486	0,3051	0,3439	1,3	38	135	1	GRIS(BETA)	NARANJA
32mm x 6m BETA/FIBRA PN-10 S-5	PP-RCT/FV	BETA/FIBRA	32	6	PN-10 S-5	32,3	32,5	2,9	3,3	0,268171	0,2518	0,2846	1,3	30	135	1	GRIS(BETA)	NARANJA
32mm x 6m BETA PN-16 S-3,2	PP-RCT	BETA	32	6	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,368342	0,3475	0,3892	1,3	47	135	1	GRIS(BETA)	ROJO
32mm x 6m BETA PN-12,5 S-4	PP-RCT	BETA	32	6	PN-12,5 S-4	32,3	32,5	3,6	4,1	0,311023	0,2925	0,3296	1,3	38	135	1	GRIS(BETA)	BLANCO
32mm x 6m BETA PN-10 S-5	PP-RCT	BETA	32	6	PN-10 S-5	32,3	32,5	2,9	3,3	0,257044	0,2413	0,2728	1,3	30	135	1	GRIS(BETA)	AZUL
32mm x 5m R3 PN-20 S-2,5	PP-R	R3	32	5	PN-20 S-2,5	32,3	32,5	5,4	6,1	0,435427	0,4130	0,4579	1,3	64	135	1	GRIS(R3)	VERDE
32mm x 5m R3 PN-16 S-3,2	PP-R	R3	32	5	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,369978	0,3490	0,3909	1,3	50	135	1	GRIS(R3)	ROJO
32mm x 5m R3 PN-10 S-5	PP-R	R3	32	5	PN-10 S-5	32,3	32,5	2,9	3,3	0,258185	0,2424	0,2740	1,3	32	135	1	GRIS(R3)	AZUL
32mm x 6m PPR-DG PN-10 S-5 MC	PP-R	PPR-DG	32	6	PN-10 S-5	32,3	32,5	2,9	3,3	0,258185	0,2424	0,2740	1,3	32	135	1	GRIS(BETA)	AZUL
32mm x 5m POLI-ONE PN-16 S-3,2	PP-R	POLI-ONE	32	5	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,369978	0,3490	0,3909	1,3	50	135	1	GRIS(P1)	ROJO
32mm x 5m POLI-ONE PN-10 S-5	PP-R	POLI-ONE	32	5	PN-10 S-5	32,3	32,5	2,9	3,3	0,258185	0,2424	0,2740	1,3	32	135	1	GRIS(P1)	AZUL
32mm x 5m BETA/FIBRA PN-16 S-3,2	PP-RCT/FV	BETA/FIBRA	32	5	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,384286	0,3625	0,4061	1,3	47	135	1	GRIS(BETA)	NARANJA
32mm x 30m BETA PN-16 S-3,2	PP-RCT	BETA	32	30	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,368342	0,3475	0,3892	1,3	47	135	1	GRIS(BETA)	ROJO
32mm x 30m BETA PN-12,5 S-4	PP-RCT	BETA	32	30	PN-12,5 S-4	32,3	32,5	3,6	4,1	0,311023	0,2925	0,3296	1,3	38	135	1	GRIS(BETA)	BLANCO
32mm x 100m R3 PN-10 S-5	PP-R	R3	32	100	PN-10 S-5	32,3	32,5	2,9	3,3	0,258185	0,2424	0,2740	1,3	32	135	1	GRIS(R3)	AZUL
32mm x 100m BETA PN-16 S-3,2	PP-RCT	BETA	32	100	PN-16 S-3,2	32,3	32,5	4,4	5,0	0,368342	0,3475	0,3892	1,3	47	135	1	GRIS(BETA)	ROJO
315mm x 6m R3 PN-16 S-3,2	PP-R	R3	315	6	PN-16 S-3,2	315,1	317,5	44,0	48,6	35,534887	33,9141	37,1557	11,1	50	135	4	GRIS(R3)	ROJO
315mm x 6m HDPE PN-6 SDR-27,6	PE100	HDPE	315	6	PN-6 SDR-27,6	315,0	316,9	11,4	13,2	11,205636	10,383876	12,027396	11,1	9,3	110	2	NEGRO	AZUL
315mm x 12m HDPE PN-6 SDR-27,6	PE100	HDPE	315	12	PN-6 SDR-27,6	315,0	316,9	11,4	13,2	11,205636	10,383876	12,027396	11,1	9,3	110	2	NEGRO	AZUL
315mm x 6m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	315	6	PN-6 SDR-27,6	315,0	316,9	11,4	13,2	11,205636	10,383876	12,027396	11,1	9,3	110	2		
315mm x 12m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	315	12	PN-6 SDR-27,6	315,0	316,9	11,4	13,2	11,205636	10,383876	12,027396	11,1	9,3	110	2		
315mm x 6m HDPE PN-16 SDR-11	PE100	HDPE	315	6	PN-16 SDR-11	315,0	316,9	28,6	31,6	25,811659	24,574909	27,048409	11,1	24,8	110	4	NEGRO	AZUL
315mm x 12m HDPE PN-16 SDR-11	PE100	HDPE	315	12	PN-16 SDR-11	315,0	316,9	28,6	31,6	25,811659	24,574909	27,048409	11,1	24,8	110	4	NEGRO	AZUL
315mm x 6m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	315	6	PN-16 SDR-11	315,0	316,9	28,6	31,6	25,811659	24,574909	27,048409	11,1	24,8	110	4		
315mm x 12m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	315	12	PN-16 SDR-11	315,0	316,9	28,6	31,6	25,811659	24,574909	27,048409	11,1	24,8	110	4		
315mm x 6m HDPE PN-12,5 SDR-13,6	PE100	HDPE	315	6	PN-12,5 SDR-13,6	315,0	316,9	23,2	25,7	21,381957	20,310759	22,453155	11,1	19,7	110	4	NEGRO	AZUL
315mm x 12m HDPE PN-12,5 SDR-13,6	PE100	HDPE	315	12	PN-12,5 SDR-13,6	315,0	316,9	23,2	25,7	21,381957	20,310759	22,453155	11,1	19,7	110	4	NEGRO	AZUL
315mm x 6m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	315	6	PN-12,5 SDR-13,6	315,0	316,9	23,2	25,7	21,381957	20,310759	22,453155	11,1	19,7	110	4		
315mm x 12m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	315	12	PN-12,5 SDR-13,6	315,0	316,9	23,2	25,7	21,381957	20,310759	22,453155	11,1	19,7	110	4		
315mm x 3m HDPE PN-10 SDR-17	PE100	HDPE	315	3	PN-10 SDR-17	315,0	316,9	18,7	20,7	17,509500	16,623640	18,395359	11,1	15,5	110	4	TRANSPARENTE	AZUL
315mm x 6m HDPE PN-10 SDR-17	PE100	HDPE	315	6	PN-10 SDR-17	315,0	316,9	18,7	20,7	17,509500	16,623640	18,395359	11,1	15,5	110	4	NEGRO	AZUL
315mm x 12m HDPE PN-10 SDR-17	PE100	HDPE	315	12	PN-10 SDR-17	315,0	316,9	18,7	20,7	17,509500	16,623640	18,395359	11,1	15,5	110	4	NEGRO	AZUL
